position,11x,11y,angle,percentage,polarity
"11,13,15",398,71,320.14718246052894,100.0,0
"11,13,15",393,75,333.4169966075571,100.0,0
"11,13,15",390,81,352.62533905140714,100.0,0
"11,13,15",385,83,354.75550161912855,100.0,0
"11,13,15",381,86,355.3709394417697,100.0,0
"11,13,15",372,103,20.564339339316078,0.0,0
"11,13,15",378,110,331.0191171301235,100.0,0
"11,13,15",378,115,346.64256754314647,100.0,0
"11,13,15",381,122,351.67377263212325,100.0,0
"11,13,15",380,126,350.4496916549386,100.0,0
"11,13,15",381,126,332.3318288000706,100.0,0
"11,13,15",382,130,333.97377980139174,100.0,0
"11,13,15",386,132,336.74853193618594,100.0,0
"11,13,15",389,138,333.05791759709274,100.0,0
"11,13,15",378,144,334.4543391043771,100.0,0
"11,13,15",377,145,324.1629739416417,100.0,0
"11,13,15",378,161,327.5678003392506,100.0,0
"11,13,15",380,154,358.99491399474584,100.0,0
"11,13,15",300,246,297.484288795005,67.83469827857857,0
"11,13,15",282,245,308.2081126633951,83.15444666199303,0
"11,13,15",280,246,311.0485448575136,87.21220693930515,0
"11,13,15",316,260,192.03258751552517,0.0,0
"11,13,15",321,250,190.47341516956783,0.0,0
"11,13,15",319,236,202.15615317544948,0.0,0
"11,13,15",324,236,199.65382405805332,0.0,0
"11,13,15",378,240,192.627614732588,0.0,0
"11,13,15",334,241,263.4564358992106,19.22347985601513,0
"11,13,15",305,205,237.4259428654275,0.0,0
"11,13,15",310,213,286.4455844434966,52.06512063356659,0
"11,13,15",324,230,175.63040835160095,0.0,0
"11,13,15",331,182,175.39179042611158,0.0,0
"11,13,15",379,138,305.87433659553585,79.8204808507655,0
"11,13,15",409,81,318.6384891053406,98.0549844362009,0
"11,13,15",408,79,334.30604559872,100.0,0
"11,13,15",406,79,339.61438791757655,100.0,0
"11,13,15",412,71,331.04511128605793,100.0,0
"11,13,15",407,46,312.78516929649584,89.69309899499406,0
"11,13,15",407,64,320.6209422951266,100.0,0
"11,13,15",407,64,320.1147652226494,100.0,0
"11,13,15",405,70,320.70639974991695,100.0,0
"11,13,15",402,71,322.11062645062424,100.0,0
"11,13,15",401,73,321.36565540340996,100.0,0
"11,13,15",400,82,321.8355687032032,100.0,0
"11,13,15",400,88,318.95564548038413,98.50806497197733,0
"11,13,15",400,96,319.1410573120924,98.77293901727488,0
"11,13,15",396,99,320.7592829745261,100.0,0
"11,13,15",394,98,315.3763509743909,93.39478710627272,0
"11,13,15",394,106,316.4997508954715,94.99964413638784,0
"11,13,15",396,118,319.07169731855157,98.67385331221654,0
"11,13,15",396,122,322.445589593053,100.0,0
"11,13,15",396,123,322.1684881004335,100.0,0
"11,13,15",383,139,357.1761902146532,100.0,0
"11,13,15",349,168,42.39120525325054,0.0,0
"11,13,15",353,176,33.014263984572274,0.0,0
"11,13,15",263,216,186.38416393951246,0.0,0
"11,13,15",277,216,182.12109639666144,0.0,0
"11,13,15",304,225,168.5344609482404,0.0,0
"11,13,15",306,225,170.8376529542783,0.0,0
"11,13,15",283,239,182.86240522611175,0.0,0
"11,13,15",306,252,298.7591122240068,69.655874605724,0
"11,13,15",288,235,205.35986431070313,0.0,0
"11,13,15",290,180,158.46579759298166,0.0,0
"11,13,15",302,190,261.0583969621322,15.797709945903112,0
"11,13,15",305,198,34.2100644487487,0.0,0
"11,13,15",318,224,94.31602751986563,0.0,0
"11,13,15",406,71,201.30238889074104,0.0,0
"11,13,15",407,57,185.4073776511866,0.0,0
"11,13,15",315,270,179.03965780721856,0.0,0
"11,13,15",317,246,182.54715975912617,0.0,0
"11,13,15",313,243,192.75732259558472,0.0,0
"11,13,15",319,233,208.19672359796425,0.0,0
"11,13,15",352,240,181.8419553331751,0.0,0
"11,13,15",343,243,173.89437393255326,0.0,0
"11,13,15",305,245,282.36906152592553,46.2415164656079,0
"11,13,15",301,241,273.6692540956394,33.81322013662774,0
"11,13,15",302,225,259.93931020467704,14.199014578110061,0
"11,13,15",304,210,241.31385242626055,0.0,0
"11,13,15",361,196,175.2363583092738,0.0,0
"11,13,15",345,192,175.4437837971317,0.0,0
"11,13,15",414,104,308.72892255049885,83.89846078642694,0
"11,13,15",414,87,313.52080215834917,90.74400308335596,0
"11,13,15",410,68,326.9138999579741,100.0,0
"11,13,15",407,63,323.3170971013061,100.0,0
"11,13,15",407,57,313.7553119811309,91.07901711590127,0
"11,13,15",403,54,315.27903568118154,93.25576525883078,0
"11,13,15",402,52,315.0338463831874,92.90549483312483,0
"11,13,15",401,53,320.21716081668416,100.0,0
"11,13,15",404,57,323.03821985321395,100.0,0
"11,13,15",406,61,321.54009037185824,100.0,0
"11,13,15",404,60,321.5700662431399,100.0,0
"11,13,15",399,61,325.4100446775677,100.0,0
"11,13,15",398,60,324.7648910871692,100.0,0
"11,13,15",398,58,321.06284123837094,100.0,0
"11,13,15",399,59,318.92362373416813,98.4623196202402,0
"11,13,15",399,59,317.79614430865735,96.85163472665336,0
"11,13,15",398,59,317.59813273008274,96.56876104297534,0
"11,13,15",396,60,321.30300505137734,100.0,0
"11,13,15",396,68,328.0403635757385,100.0,0
"11,13,15",394,72,323.7218232319712,100.0,0
"11,13,15",392,76,325.4732663779251,100.0,0
"11,13,15",393,76,324.57679849152805,100.0,0
"11,13,15",392,77,322.12311302433307,100.0,0
"11,13,15",390,78,320.1991061142153,100.0,0
"11,13,15",370,96,329.5351316398646,100.0,0
"11,13,15",375,99,325.3315923589341,100.0,0
"11,13,15",384,99,313.18098459420594,90.2585494202942,0
"11,13,15",389,107,314.2288339427929,91.75547706113272,0
"11,13,15",395,106,309.98619352794105,85.69456218277294,0
"11,13,15",394,113,321.0798755241388,100.0,0
"11,13,15",397,126,326.9846307798742,100.0,0
