Source.Name,position,11x,11y,angle,percentage,polarity
Dumbbells_DataSet.csv,111315,293,288,192.2003347,0,1
Dumbbells_DataSet.csv,111315,294,290,195.2788551,0,1
Dumbbells_DataSet.csv,111315,296,290,198.1648376,0,1
Dumbbells_DataSet.csv,111315,297,290,204.0111451,0,1
Dumbbells_DataSet.csv,111315,299,291,208.7959599,0,1
Dumbbells_DataSet.csv,111315,301,291,214.3783915,0,1
Dumbbells_DataSet.csv,111315,302,290,220.4001904,0.400190445,1
Dumbbells_DataSet.csv,111315,302,290,229.4500085,9.450008473,1
Dumbbells_DataSet.csv,111315,303,290,241.3177612,21.31776125,1
Dumbbells_DataSet.csv,111315,304,290,249.9107654,29.91076537,1
Dumbbells_DataSet.csv,111315,305,290,254.002963,34.00296303,1
Dumbbells_DataSet.csv,111315,305,291,260.4041807,40.40418071,1
Dumbbells_DataSet.csv,111315,305,291,267.139861,47.13986095,1
Dumbbells_DataSet.csv,111315,306,291,275.0650933,55.06509328,1
Dumbbells_DataSet.csv,111315,307,291,280.5722593,60.57225934,1
Dumbbells_DataSet.csv,111315,307,292,287.618724,67.61872402,1
Dumbbells_DataSet.csv,111315,307,292,292.7644536,72.76445359,1
Dumbbells_DataSet.csv,111315,307,292,297.4653284,77.4653284,1
Dumbbells_DataSet.csv,111315,308,292,301.0065951,81.00659513,1
Dumbbells_DataSet.csv,111315,308,293,305.3404716,85.34047157,1
Dumbbells_DataSet.csv,111315,309,295,307.925463,87.92546299,1
Dumbbells_DataSet.csv,111315,309,296,309.3313495,89.33134955,1
Dumbbells_DataSet.csv,111315,309,297,311.3943103,91.39431034,1
Dumbbells_DataSet.csv,111315,309,297,314.4905257,94.49052571,1
Dumbbells_DataSet.csv,111315,308,296,316.9208606,96.92086063,1
Dumbbells_DataSet.csv,111315,308,296,319.9360881,99.93608808,1
Dumbbells_DataSet.csv,111315,308,294,322.5118586,100,1
Dumbbells_DataSet.csv,111315,308,293,325.6722202,100,1
Dumbbells_DataSet.csv,111315,308,294,328.8885916,100,1
Dumbbells_DataSet.csv,111315,308,294,330.3788347,100,1
Dumbbells_DataSet.csv,111315,309,294,332.0010489,100,1
Dumbbells_DataSet.csv,111315,309,294,333.9616572,100,1
Dumbbells_DataSet.csv,111315,309,291,333.5525991,100,1
Dumbbells_DataSet.csv,111315,309,290,332.6874621,100,1
Dumbbells_DataSet.csv,111315,309,289,332.7986657,100,1
Dumbbells_DataSet.csv,111315,309,289,332.8634521,100,1
Dumbbells_DataSet.csv,111315,309,289,332.5607169,100,1
Dumbbells_DataSet.csv,111315,309,289,332.1314247,100,1
Dumbbells_DataSet.csv,111315,309,289,330.6617122,100,1
Dumbbells_DataSet.csv,111315,309,288,329.2341584,100,1
Dumbbells_DataSet.csv,111315,309,286,326.6639079,100,1
Dumbbells_DataSet.csv,111315,309,286,324.4415353,100,1
Dumbbells_DataSet.csv,111315,309,286,322.4361031,100,1
Dumbbells_DataSet.csv,111315,309,288,320.3421898,100,1
Dumbbells_DataSet.csv,111315,310,291,316.570995,96.57099498,1
Dumbbells_DataSet.csv,111315,313,294,311.91445,91.91445004,1
Dumbbells_DataSet.csv,111315,313,297,309.3268401,89.32684013,1
Dumbbells_DataSet.csv,111315,313,300,306.0703828,86.07038284,1
Dumbbells_DataSet.csv,111315,313,300,301.0628504,81.06285042,1
Dumbbells_DataSet.csv,111315,313,302,293.440939,73.44093903,1
Dumbbells_DataSet.csv,111315,313,301,286.990221,66.99022104,1
Dumbbells_DataSet.csv,111315,314,301,279.2782122,59.27821224,1
Dumbbells_DataSet.csv,111315,314,301,271.4533666,51.45336663,1
Dumbbells_DataSet.csv,111315,314,301,264.674434,44.67443398,1
Dumbbells_DataSet.csv,111315,314,300,260.3685375,40.36853747,1
Dumbbells_DataSet.csv,111315,314,299,256.9369237,36.93692366,1
Dumbbells_DataSet.csv,111315,314,299,250.584662,30.58466202,1
Dumbbells_DataSet.csv,111315,314,299,239.8099884,19.80998842,1
Dumbbells_DataSet.csv,111315,313,300,230.2078736,10.20787358,1
Dumbbells_DataSet.csv,111315,312,300,223.4575839,3.457583928,1
Dumbbells_DataSet.csv,111315,311,300,216.9168309,0,1
Dumbbells_DataSet.csv,111315,309,300,211.6521162,0,1
Dumbbells_DataSet.csv,111315,309,299,206.2431682,0,1
Dumbbells_DataSet.csv,111315,308,299,202.1967563,0,1
Dumbbells_DataSet.csv,111315,306,299,198.6264951,0,1
Dumbbells_DataSet.csv,111315,303,298,196.0628098,0,1
Dumbbells_DataSet.csv,111315,300,298,191.1892737,0,1
Dumbbells_DataSet.csv,111315,298,298,188.1768375,0,1
Dumbbells_DataSet.csv,111315,296,297,186.5148033,0,1
Dumbbells_DataSet.csv,111315,295,297,183.4474514,0,1
Dumbbells_DataSet.csv,111315,294,296,182.9430517,0,1
Dumbbells_DataSet.csv,111315,294,297,180.3659761,0,1
Dumbbells_DataSet.csv,111315,293,298,178.8957256,0,1
Dumbbells_DataSet.csv,111315,290,299,179.8159787,0,1
Dumbbells_DataSet.csv,111315,288,299,178.4437881,0,1
Dumbbells_DataSet.csv,111315,288,299,178.7599308,0,1
Dumbbells_DataSet.csv,111315,288,299,180.3925801,0,1
Dumbbells_DataSet.csv,111315,288,299,181.3571979,0,1
Dumbbells_DataSet.csv,111315,288,299,182.3719689,0,1
Dumbbells_DataSet.csv,111315,288,300,182.7157508,0,1
Dumbbells_DataSet.csv,111315,289,300,182.498989,0,1
Dumbbells_DataSet.csv,111315,289,300,182.7638822,0,1
Dumbbells_DataSet.csv,111315,290,299,183.0965892,0,1
Dumbbells_DataSet.csv,111315,290,300,184.133481,0,1
Dumbbells_DataSet.csv,111315,290,300,186.7895211,0,1
Dumbbells_DataSet.csv,111315,292,301,189.4573774,0,1
Dumbbells_DataSet.csv,111315,296,301,191.4713963,0,1
Dumbbells_DataSet.csv,111315,297,301,195.7081086,0,1
Dumbbells_DataSet.csv,111315,299,302,199.0947901,0,1
Dumbbells_DataSet.csv,111315,301,303,204.8864484,0,1
Dumbbells_DataSet.csv,111315,303,306,209.3257944,0,1
Dumbbells_DataSet.csv,111315,304,306,216.8326122,0,1
Dumbbells_DataSet.csv,111315,306,306,221.9365282,1.936528163,1
Dumbbells_DataSet.csv,111315,307,306,231.2648257,11.26482569,1
Dumbbells_DataSet.csv,111315,309,306,240.3274792,20.32747922,1
Dumbbells_DataSet.csv,111315,310,305,248.1351058,28.13510577,1
Dumbbells_DataSet.csv,111315,310,304,255.4688422,35.46884216,1
Dumbbells_DataSet.csv,111315,310,304,262.7681844,42.76818441,1
Dumbbells_DataSet.csv,111315,310,305,266.3123489,46.31234892,1
Dumbbells_DataSet.csv,111315,311,305,272.6206643,52.62066432,1
Dumbbells_DataSet.csv,111315,312,305,277.1313563,57.1313563,1
Dumbbells_DataSet.csv,111315,311,307,284.642246,64.64224601,1
Dumbbells_DataSet.csv,111315,311,309,290.7821545,70.78215446,1
Dumbbells_DataSet.csv,111315,311,309,295.7163817,75.71638175,1
Dumbbells_DataSet.csv,111315,311,310,299.2656805,79.26568051,1
Dumbbells_DataSet.csv,111315,311,310,302.6232344,82.6232344,1
Dumbbells_DataSet.csv,111315,311,310,305.8854559,85.88545586,1
Dumbbells_DataSet.csv,111315,311,311,307.6639504,87.66395043,1
Dumbbells_DataSet.csv,111315,311,311,310.0816193,90.08161929,1
Dumbbells_DataSet.csv,111315,311,312,312.3108563,92.31085629,1
