position,11x,11y,angle,percentage,polarity
"11,13,15",1137,381,228.88459147032512,0.0,1
"11,13,15",1136,382,226.8044360717479,0.0,1
"11,13,15",1136,382,224.8786166190179,0.0,1
"11,13,15",1136,382,224.1168857084241,0.0,1
"11,13,15",1136,382,223.4372965459512,0.0,1
"11,13,15",1137,382,222.359545675765,0.0,1
"11,13,15",1137,382,221.59568651720207,0.0,1
"11,13,15",1137,382,221.02604298231006,0.0,1
"11,13,15",1137,382,220.0946514195757,0.0,1
"11,13,15",1136,382,219.45445619806077,0.0,1
"11,13,15",1136,382,219.6570604484029,0.0,1
"11,13,15",1136,381,219.53915390631468,0.0,1
"11,13,15",1137,380,219.58542120197635,0.0,1
"11,13,15",1138,376,219.51576232216325,0.0,1
"11,13,15",1140,373,219.48858026477825,0.0,1
"11,13,15",1143,370,219.74881334761488,0.0,1
"11,13,15",1144,368,220.58475289575253,0.0,1
"11,13,15",1147,367,221.66338865896122,0.0,1
"11,13,15",1147,364,223.16796926946523,0.0,1
"11,13,15",1147,361,225.50774386811395,0.0,1
"11,13,15",1147,360,228.7327001910569,0.0,1
"11,13,15",1147,360,231.70024061895998,0.0,1
"11,13,15",1147,360,233.2158645087553,0.0,1
"11,13,15",1147,360,235.32302540444178,0.0,1
"11,13,15",1146,362,238.02459958680296,0.0,1
"11,13,15",1146,364,241.50097377097012,0.0,1
"11,13,15",1144,367,243.52739761222333,0.0,1
"11,13,15",1144,371,246.34243753477264,0.0,1
"11,13,15",1144,371,251.37773274915867,2.755465498317335,1
"11,13,15",1144,371,254.08796870367817,8.175937407356344,1
"11,13,15",1144,371,256.16255516818643,12.325110336372859,1
"11,13,15",1145,371,261.3083580137471,22.61671602749425,1
"11,13,15",1146,371,263.67511531636296,27.350230632725925,1
"11,13,15",1146,371,265.0073974767942,30.01479495358842,1
"11,13,15",1147,371,267.00936436503014,34.018728730060275,1
"11,13,15",1148,371,267.9145713022141,35.82914260442817,1
"11,13,15",1149,371,270.775386130598,41.550772261196016,1
"11,13,15",1150,371,271.55868420621084,43.11736841242168,1
"11,13,15",1154,368,272.4966092894483,44.99321857889663,1
"11,13,15",1154,366,274.38654556750976,48.77309113501951,1
"11,13,15",1154,365,278.29941826392667,56.59883652785334,1
"11,13,15",1154,365,283.28679422940365,66.57358845880731,1
"11,13,15",1154,365,286.87018095998684,73.74036191997368,1
"11,13,15",1153,364,291.18685186450466,82.37370372900932,1
"11,13,15",1151,364,293.922489348172,87.84497869634401,1
"11,13,15",1150,364,296.02548735753686,92.05097471507372,1
"11,13,15",1150,364,297.9704718639459,95.94094372789175,1
