position,11x,11y,angle,percentage,polarity
"11,13,15",338,337,201.03365819384643,0.0,0
"11,13,15",336,340,200.36430655620364,0.0,0
"11,13,15",331,340,199.71392027090099,0.0,0
"11,13,15",327,340,199.7078733284155,0.0,0
"11,13,15",324,339,198.64576913736414,0.0,0
"11,13,15",320,339,197.73148892555938,0.0,0
"11,13,15",316,339,197.8152715027245,0.0,0
"11,13,15",314,339,198.59436716817297,0.0,0
"11,13,15",313,339,198.09453146105497,0.0,0
"11,13,15",312,338,198.1031665544293,0.0,0
"11,13,15",311,338,197.58722126849523,0.0,0
"11,13,15",311,338,197.29892789142778,0.0,0
"11,13,15",310,338,196.583636630085,0.0,0
"11,13,15",308,338,196.55804795538276,0.0,0
"11,13,15",307,338,196.48867757159334,0.0,0
"11,13,15",307,338,195.55312895622154,0.0,0
"11,13,15",306,338,195.0148404415436,0.0,0
"11,13,15",305,338,194.7658711170454,0.0,0
"11,13,15",304,338,194.86120705902903,0.0,0
"11,13,15",303,338,194.46772585052344,0.0,0
"11,13,15",303,338,194.00480983200563,0.0,0
"11,13,15",303,338,193.99575725381757,0.0,0
"11,13,15",303,338,193.47788321727577,0.0,0
"11,13,15",303,337,193.7272910592063,0.0,0
"11,13,15",302,337,194.1991694160248,0.0,0
"11,13,15",300,336,194.1309841287321,0.0,0
"11,13,15",298,336,194.34547648884995,0.0,0
"11,13,15",296,336,194.79493814812471,0.0,0
"11,13,15",295,335,194.94568896417948,0.0,0
"11,13,15",294,335,195.3955492539951,0.0,0
"11,13,15",293,335,195.6074573956409,0.0,0
"11,13,15",292,334,195.30000124273488,0.0,0
"11,13,15",291,333,195.4529131762011,0.0,0
"11,13,15",291,332,195.32628551093103,0.0,0
"11,13,15",290,332,194.64070706199053,0.0,0
"11,13,15",290,331,193.22816630555636,0.0,0
"11,13,15",289,331,192.78942262043714,0.0,0
"11,13,15",289,331,192.2680434928218,0.0,0
"11,13,15",288,331,192.405933810506,0.0,0
"11,13,15",288,332,192.46420541444877,0.0,0
"11,13,15",287,332,192.45081590322062,0.0,0
"11,13,15",287,332,192.714905030138,0.0,0
"11,13,15",288,332,192.99055210835968,0.0,0
"11,13,15",288,332,193.16486860871956,0.0,0
"11,13,15",288,333,193.47870250786704,0.0,0
"11,13,15",288,333,193.487785541956,0.0,0
"11,13,15",288,335,193.60592100241044,0.0,0
"11,13,15",288,335,193.61492375670852,0.0,0
"11,13,15",288,335,193.67465127886973,0.0,0
"11,13,15",288,335,193.5012421071639,0.0,0
"11,13,15",289,334,192.98141860647,0.0,0
"11,13,15",289,332,192.967634141675,0.0,0
"11,13,15",290,331,192.46776425684263,0.0,0
"11,13,15",292,331,192.5004780962581,0.0,0
"11,13,15",294,331,190.68888166523178,0.0,0
"11,13,15",297,331,189.6902163909082,0.0,0
"11,13,15",298,331,190.08064466271338,0.0,0
"11,13,15",299,330,191.36321498187417,0.0,0
"11,13,15",299,329,192.10245297052003,0.0,0
"11,13,15",301,328,191.7967675299746,0.0,0
"11,13,15",303,327,187.92850789628346,0.0,0
"11,13,15",305,326,188.81023911036084,0.0,0
"11,13,15",305,323,187.30021190838067,0.0,0
"11,13,15",305,319,187.532624286126,0.0,0
"11,13,15",309,319,184.77032107744262,0.0,0
"11,13,15",313,319,185.2628346377528,0.0,0
"11,13,15",313,317,186.20126308756358,0.0,0
"11,13,15",314,316,186.90138548969142,0.0,0
"11,13,15",315,316,188.6355790491422,0.0,0
"11,13,15",316,316,188.36278893628673,0.0,0
"11,13,15",318,316,188.64026089477076,0.0,0
"11,13,15",319,315,189.1680347975523,0.0,0
"11,13,15",319,315,194.14179283488863,0.0,0
"11,13,15",319,314,191.22383101677366,0.0,0
"11,13,15",319,314,191.4777790148387,0.0,0
"11,13,15",322,314,192.8325605704476,0.0,0
"11,13,15",323,315,186.94056255557203,0.0,0
"11,13,15",325,315,190.8073594172786,0.0,0
"11,13,15",328,315,4.181121812574216,0.0,0
"11,13,15",334,315,2.3503731645487247,0.0,0
"11,13,15",336,316,297.2155910036492,77.2155910036492,0
"11,13,15",337,317,186.98044810898816,0.0,0
"11,13,15",338,317,189.3189635926425,0.0,0
"11,13,15",340,317,196.9857311366091,0.0,0
"11,13,15",343,318,200.37601482702627,0.0,0
"11,13,15",344,317,220.3877520416458,0.3877520416457969,0
"11,13,15",343,317,188.49216738848526,0.0,0
"11,13,15",344,317,197.72150003988833,0.0,0
"11,13,15",349,317,198.1291172244929,0.0,0
"11,13,15",352,319,205.11459654401517,0.0,0
"11,13,15",355,319,202.4279959019839,0.0,0
"11,13,15",358,320,198.88145857439977,0.0,0
"11,13,15",361,320,198.04383730309905,0.0,0
"11,13,15",362,320,197.6200303319139,0.0,0
"11,13,15",362,319,197.87645080969455,0.0,0
"11,13,15",365,317,198.69471580570348,0.0,0
"11,13,15",369,315,199.31360036570075,0.0,0
"11,13,15",368,313,198.0920592321791,0.0,0
"11,13,15",369,311,200.11245207876001,0.0,0
"11,13,15",369,306,202.66591902451097,0.0,0
"11,13,15",368,304,196.60282380503443,0.0,0
"11,13,15",368,301,198.20219883447922,0.0,0
"11,13,15",372,301,195.10706792271347,0.0,0
"11,13,15",375,299,195.04609896700944,0.0,0
"11,13,15",383,297,205.38009214527395,0.0,0
"11,13,15",387,294,243.1246250167536,23.124625016753612,0
"11,13,15",391,292,216.1766679486876,0.0,0
"11,13,15",398,292,209.00409878821677,0.0,0
"11,13,15",400,291,206.98420246925008,0.0,0
"11,13,15",398,290,26.113044591332002,0.0,0
"11,13,15",403,290,336.93046911523055,100.0,0
"11,13,15",403,288,357.2154346981659,100.0,0
"11,13,15",403,285,324.50630440297607,100.0,0
"11,13,15",403,285,350.0628373568694,100.0,0
"11,13,15",406,283,354.81151535723234,100.0,0
"11,13,15",407,283,353.7419432220244,100.0,0
"11,13,15",407,283,27.215409993515046,0.0,0
"11,13,15",407,283,31.347249877352162,0.0,0
"11,13,15",406,284,118.19163295715438,0.0,0
"11,13,15",406,285,198.25259495259985,0.0,0
"11,13,15",405,286,198.56687785276748,0.0,0
"11,13,15",405,286,203.8606035402572,0.0,0
"11,13,15",405,286,328.0173390419627,100.0,0
"11,13,15",405,285,353.13495121432777,100.0,0
"11,13,15",405,282,356.8310151912902,100.0,0
"11,13,15",405,281,4.271167172718696,0.0,0
"11,13,15",406,281,3.5326750752202725,0.0,0
"11,13,15",409,280,344.38901146632037,100.0,0
"11,13,15",415,278,329.94075917136024,100.0,0
"11,13,15",415,278,333.1069897159724,100.0,0
