position,11x,11y,angle,percentage,polarity
"11,13,15",297,286,326.467221947554,100.0,1
"11,13,15",297,286,327.9084922725577,100.0,1
"11,13,15",297,286,328.5547776620881,100.0,1
"11,13,15",297,285,328.9270838310769,100.0,1
"11,13,15",297,283,328.9715202909023,100.0,1
"11,13,15",297,282,328.76491583785713,100.0,1
"11,13,15",297,281,328.6713071321958,100.0,1
"11,13,15",297,280,328.53872737971795,100.0,1
"11,13,15",297,280,328.08166707983094,100.0,1
"11,13,15",297,280,327.26074117309,100.0,1
"11,13,15",297,280,325.3666717407012,100.0,1
"11,13,15",298,281,322.8588247490831,100.0,1
"11,13,15",299,282,320.3347305055139,100.0,1
"11,13,15",300,282,318.3240073732744,98.32400737327441,1
"11,13,15",301,282,316.58711744670705,96.58711744670705,1
"11,13,15",301,285,313.9971056643187,93.99710566431872,1
"11,13,15",301,288,311.0260438453315,91.02604384533151,1
"11,13,15",301,290,307.9786081581819,87.97860815818188,1
"11,13,15",302,291,304.2863991819046,84.28639918190459,1
"11,13,15",302,291,300.0258693074878,80.02586930748782,1
"11,13,15",302,292,294.4277781639872,74.42777816398723,1
"11,13,15",303,292,286.38281333424027,66.38281333424027,1
"11,13,15",304,294,276.9860396966521,56.986039696652085,1
"11,13,15",305,294,269.6827091763444,49.68270917634442,1
"11,13,15",306,294,261.8889517786677,41.88895177866772,1
"11,13,15",306,294,257.7071163385039,37.70711633850391,1
"11,13,15",306,294,253.21433685791484,33.214336857914844,1
"11,13,15",306,294,247.32292841776362,27.32292841776362,1
"11,13,15",305,293,238.46585037377537,18.465850373775368,1
"11,13,15",305,291,232.29013341201286,12.290133412012864,1
"11,13,15",303,291,228.17983011986425,8.17983011986425,1
"11,13,15",302,291,221.85510622855966,1.855106228559663,1
"11,13,15",302,291,216.8404612254564,0.0,1
"11,13,15",301,291,213.11580284759546,0.0,1
"11,13,15",300,290,208.0856003485697,0.0,1
"11,13,15",300,289,203.11269428705637,0.0,1
"11,13,15",299,289,200.23891634012804,0.0,1
"11,13,15",298,288,196.76885824430184,0.0,1
"11,13,15",297,287,193.6195268515597,0.0,1
"11,13,15",296,287,188.7531730168826,0.0,1
"11,13,15",294,288,186.34792710154176,0.0,1
"11,13,15",293,288,184.01172286012365,0.0,1
"11,13,15",292,287,182.83666010112546,0.0,1
"11,13,15",290,285,181.38222304006106,0.0,1
"11,13,15",289,284,180.17972047307472,0.0,1
"11,13,15",288,284,180.07381434337032,0.0,1
"11,13,15",288,283,179.38628334309072,0.0,1
"11,13,15",287,282,179.98603351025244,0.0,1
"11,13,15",287,282,179.29255188885315,0.0,1
"11,13,15",287,282,180.57279984637012,0.0,1
"11,13,15",287,282,181.1434764942213,0.0,1
"11,13,15",287,282,182.0911185969605,0.0,1
"11,13,15",288,283,182.07479990453825,0.0,1
"11,13,15",288,284,182.733228864312,0.0,1
"11,13,15",289,285,182.97077548847903,0.0,1
"11,13,15",289,285,184.93731021325846,0.0,1
"11,13,15",290,285,186.27695766584074,0.0,1
"11,13,15",292,286,189.67794926953448,0.0,1
"11,13,15",293,288,192.20033472598803,0.0,1
"11,13,15",294,290,195.27885512903387,0.0,1
"11,13,15",296,290,198.16483760944007,0.0,1
"11,13,15",297,290,204.0111451041019,0.0,1
"11,13,15",299,291,208.7959599297129,0.0,1
"11,13,15",301,291,214.37839149985558,0.0,1
"11,13,15",302,290,220.40019044498135,0.40019044498134804,1
"11,13,15",302,290,229.45000847315066,9.45000847315066,1
"11,13,15",303,290,241.3177612494237,21.31776124942371,1
"11,13,15",304,290,249.91076536753738,29.91076536753738,1
"11,13,15",305,290,254.00296303193136,34.00296303193136,1
"11,13,15",305,291,260.40418071081706,40.40418071081706,1
"11,13,15",305,291,267.1398609519321,47.13986095193212,1
"11,13,15",306,291,275.06509328201196,55.06509328201196,1
"11,13,15",307,291,280.572259336588,60.57225933658799,1
"11,13,15",307,292,287.6187240213393,67.61872402133929,1
"11,13,15",307,292,292.7644535867204,72.76445358672038,1
"11,13,15",307,292,297.46532840220124,77.46532840220124,1
"11,13,15",308,292,301.0065951306594,81.00659513065938,1
"11,13,15",308,293,305.34047156785977,85.34047156785977,1
"11,13,15",309,295,307.9254629934104,87.9254629934104,1
"11,13,15",309,296,309.3313495466318,89.33134954663183,1
"11,13,15",309,297,311.39431034038677,91.39431034038677,1
"11,13,15",309,297,314.49052571274467,94.49052571274467,1
"11,13,15",308,296,316.9208606303763,96.9208606303763,1
"11,13,15",308,296,319.9360880811838,99.93608808118381,1
"11,13,15",308,294,322.5118585706949,100.0,1
"11,13,15",308,293,325.6722201967406,100.0,1
"11,13,15",308,294,328.8885915575425,100.0,1
"11,13,15",308,294,330.3788347488206,100.0,1
"11,13,15",309,294,332.00104889604745,100.0,1
"11,13,15",309,294,333.96165718836585,100.0,1
"11,13,15",309,291,333.55259912884793,100.0,1
"11,13,15",309,290,332.6874621349323,100.0,1
"11,13,15",309,289,332.7986657199233,100.0,1
"11,13,15",309,289,332.86345212370287,100.0,1
"11,13,15",309,289,332.5607168844483,100.0,1
"11,13,15",309,289,332.1314247239012,100.0,1
"11,13,15",309,289,330.6617122171344,100.0,1
"11,13,15",309,288,329.2341583883392,100.0,1
"11,13,15",309,286,326.6639078544792,100.0,1
"11,13,15",309,286,324.44153525301317,100.0,1
"11,13,15",309,286,322.4361030753785,100.0,1
"11,13,15",309,288,320.34218979577037,100.0,1
"11,13,15",310,291,316.5709949788324,96.5709949788324,1
"11,13,15",313,294,311.9144500431897,91.91445004318967,1
"11,13,15",313,297,309.32684012751787,89.32684012751787,1
"11,13,15",313,300,306.07038284494445,86.07038284494445,1
"11,13,15",313,300,301.06285041718553,81.06285041718553,1
"11,13,15",313,302,293.4409390272599,73.4409390272599,1
"11,13,15",313,301,286.9902210375227,66.9902210375227,1
"11,13,15",314,301,279.27821224154036,59.27821224154036,1
"11,13,15",314,301,271.4533666287212,51.4533666287212,1
"11,13,15",314,301,264.674433976042,44.674433976041996,1
"11,13,15",314,300,260.36853746941335,40.368537469413354,1
"11,13,15",314,299,256.93692365943997,36.93692365943997,1
"11,13,15",314,299,250.58466202124742,30.584662021247425,1
"11,13,15",314,299,239.80998841737855,19.80998841737855,1
"11,13,15",313,300,230.20787358477463,10.207873584774632,1
"11,13,15",312,300,223.45758392839718,3.4575839283971845,1
"11,13,15",311,300,216.9168308784584,0.0,1
"11,13,15",309,300,211.6521162013379,0.0,1
"11,13,15",309,299,206.24316816167928,0.0,1
"11,13,15",308,299,202.19675625524144,0.0,1
"11,13,15",306,299,198.6264951383869,0.0,1
"11,13,15",303,298,196.06280979775235,0.0,1
"11,13,15",300,298,191.18927367025844,0.0,1
"11,13,15",298,298,188.17683751526988,0.0,1
"11,13,15",296,297,186.5148032860267,0.0,1
"11,13,15",295,297,183.4474513929639,0.0,1
"11,13,15",294,296,182.94305166436897,0.0,1
"11,13,15",294,297,180.3659761423672,0.0,1
"11,13,15",293,298,178.89572564222811,0.0,1
"11,13,15",290,299,179.81597866946572,0.0,1
"11,13,15",288,299,178.44378805024436,0.0,1
